Station_ID,Group,Plot_Size_(m2),Collection_Date,Community,Sample_Type,Vegetation_Type,Percent_Cover_Total,Percent_Cover_Tree,Percent_Cover_Shrub,Percent_Cover_Herb,Percent_Cover_Carpet,Average_Height_Dominant_(cm),Average_Height_Tree_cm,Average_Height_Shrub_cm,Average_Height_Herb_cm,Average_Height_Carpet_cm,Scientific_Name_Originally_Observed,Common_Name_As_Originally_Observed,Scientific_Name_As_Currently_Recognized,Common_Name_As_Currently_Recognized,Percent_Cover,Braun_Blanquet_Rank,In_Out,Number_Planted,Number_Alive,Additional_Species_Description,Organization,Personnel,Comments
BA04-118,,4,9/8/2003,Saline,Random,Natural,100,0,0,100,0,135,0,0,110,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,50,3,Both,,,,LA DEPT OF NAT RES (CRDNO),W. Boshart; B. Carter,"new plot, old pole missing"
BA04-118,,4,9/8/2003,Saline,Random,Natural,100,0,0,100,0,135,0,0,110,0,Juncus roemerianus Scheele,needlegrass rush,Juncus roemerianus Scheele,needlegrass rush,,,Out,,,,LA DEPT OF NAT RES (CRDNO),W. Boshart; B. Carter,"new plot, old pole missing"
BA04-122,,1,9/12/2001,Saline,Random,Natural,100,,,100,,121.9,,,121.9,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,90,5,Both,,,,LA DEPT OF NAT RES (CRDNO),M. Hymel; W. Boshart,
BA04-122,,1,9/12/2001,Saline,Random,Natural,100,,,100,,121.9,,,121.9,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,20,2,Both,,,,LA DEPT OF NAT RES (CRDNO),M. Hymel; W. Boshart,
BA04-123,,4,9/8/2003,Saline,Random,Natural,100,0,0,100,0,110,0,0,95,0,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,90,5,Both,,,,LA DEPT OF NAT RES (CRDNO),W. Boshart; B. Carter,
BA04-123,,4,9/8/2003,Saline,Random,Natural,100,0,0,100,0,110,0,0,95,0,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,60,4,Both,,,,LA DEPT OF NAT RES (CRDNO),W. Boshart; B. Carter,
BA04-124,,1,9/12/2001,Saline,Random,Natural,100,,,100,,106.7,,,106.7,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,35,3,Both,,,,LA DEPT OF NAT RES (CRDNO),M. Hymel; W. Boshart,
BA04-124,,1,9/12/2001,Saline,Random,Natural,100,,,100,,106.7,,,106.7,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,30,3,Both,,,,LA DEPT OF NAT RES (CRDNO),M. Hymel; W. Boshart,
BA04-129,,1,9/12/2001,Saline,Random,Natural,100,,,100,,106.7,,,106.7,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,55,4,Both,,,,LA DEPT OF NAT RES (CRDNO),M. Hymel; W. Boshart,
BA04-129,,1,9/12/2001,Saline,Random,Natural,100,,,100,,106.7,,,106.7,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,15,2,Both,,,,LA DEPT OF NAT RES (CRDNO),M. Hymel; W. Boshart,
BA04-129,,1,9/12/2001,Saline,Random,Natural,100,,,100,,106.7,,,106.7,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,40,3,Both,,,,LA DEPT OF NAT RES (CRDNO),M. Hymel; W. Boshart,
BA04-129,,4,9/8/2003,Saline,Random,Natural,100,0,0,100,0,90,0,0,97,0,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,40,3,Both,,,,LA DEPT OF NAT RES (CRDNO),W. Boshart; B. Carter,
BA04-129,,4,9/8/2003,Saline,Random,Natural,100,0,0,100,0,90,0,0,97,0,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,75,4,Both,,,,LA DEPT OF NAT RES (CRDNO),W. Boshart; B. Carter,
BA04-130,,1,9/12/2001,Saline,Random,Natural,100,,,100,,106.7,,,106.7,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,95,5,Both,,,,LA DEPT OF NAT RES (CRDNO),M. Hymel; W. Boshart,
BA04-130,,1,9/12/2001,Saline,Random,Natural,100,,,100,,106.7,,,106.7,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,40,3,Both,,,,LA DEPT OF NAT RES (CRDNO),M. Hymel; W. Boshart,
BA04-132,,4,9/1/2009,Saline,Random,Natural,100,,,100,,98,,,97,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,3,1,Both,,,,GEC,J. Avant; J. Palmer,Photo: BA04-132.jpg
BA04-136,,1,9/13/2001,Saline,Random,Natural,100,,,100,,61,,,61,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,,,Out,,,,LA DEPT OF NAT RES (CRDNO),M. Hymel; W. Boshart,
BA04-136,,1,9/13/2001,Saline,Random,Natural,100,,,100,,61,,,61,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,85,5,Both,,,,LA DEPT OF NAT RES (CRDNO),M. Hymel; W. Boshart,
BA04-136,,1,9/13/2001,Saline,Random,Natural,100,,,100,,61,,,61,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,75,4,Both,,,,LA DEPT OF NAT RES (CRDNO),M. Hymel; W. Boshart,
BA23-102,,4,9/23/2003,Saline,Random,Natural,100,,,100,,150,,,150,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,100,5,Both,,,,LA DEPT OF NAT RES (CRDNO),J. Barmore; W. Boshart,
BA23-102,,4,9/23/2003,Saline,Random,Natural,100,,,100,,150,,,150,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,2,1,Both,,,,LA DEPT OF NAT RES (CRDNO),J. Barmore; W. Boshart,
BA28-1000R,DUNE,4,4/18/2001,Saline,Random,Natural,100,,,100,,20,,,20,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,100,5,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-1060,DUNE,4,9/18/2002,Saline,Random,Planted,100,,,100,,140,,,140,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,,,Out,,,,LA DEPT OF NAT RES (CRDT),K. Gray; A. Lasseigne; E. Lear,*no Spartina spartinae (planted) surviving.;*no Spartina spartinae w/in 15' of plot.;Panicum amarum indeterminate.
BA28-1060,DUNE,4,9/18/2002,Saline,Random,Planted,100,,,100,,140,,,140,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,3,1,Both,,,,LA DEPT OF NAT RES (CRDT),K. Gray; A. Lasseigne; E. Lear,*no Spartina spartinae (planted) surviving.;*no Spartina spartinae w/in 15' of plot.;Panicum amarum indeterminate.
BA28-1060,DUNE,4,9/18/2002,Saline,Random,Planted,100,,,100,,140,,,140,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,Out,5,1,,LA DEPT OF NAT RES (CRDT),K. Gray; A. Lasseigne; E. Lear,*no Spartina spartinae (planted) surviving.;*no Spartina spartinae w/in 15' of plot.;Panicum amarum indeterminate.
BA28-1100,DUNE,4,4/18/2001,Saline,Random,Planted,100,,,100,,15,,,25,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,90,5,Both,,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
BA28-1100,DUNE,4,4/18/2001,Saline,Random,Planted,100,,,100,,15,,,25,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,<1,+,Both,,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
BA28-1100R,DUNE,4,4/18/2001,Saline,Random,Natural,100,,,100,,25,,,25,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,15,2,Both,,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
BA28-1100R,DUNE,4,4/18/2001,Saline,Random,Natural,100,,,100,,25,,,25,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,40,3,Both,,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
BA28-1120R,Dune,4,10/22/2001,Saline,Random,Natural,100,,,100,,24,,,24,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,,,Out,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-1120R,Dune,4,10/22/2001,Saline,Random,Natural,100,,,100,,24,,,24,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,Out,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-1520,Dune,4,10/22/2001,Saline,Random,Planted,100,,,100,,36,,,36,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,5,1,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-1520,Dune,4,10/22/2001,Saline,Random,Planted,100,,,100,,36,,,36,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,5,1,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-1520,Dune,4,10/22/2001,Saline,Random,Planted,100,,,100,,36,,,36,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,Out,5,0,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-1520R,Dune,4,10/22/2001,Saline,Random,Natural,100,,,100,,31,,,61,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,10,2,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-1520R,Dune,4,10/22/2001,Saline,Random,Natural,100,,,100,,31,,,61,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,20,2,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-1520R,DUNE,4,10/20/2003,Saline,Random,Natural,100,,,100,,120,,,120,,Phragmites australis (Cav.) Trin. ex Steud.,common reed,Phragmites australis (Cav.) Trin. ex Steud.,common reed,,,Out,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; J. West; E. Lear,
BA28-1520R,DUNE,4,10/20/2003,Saline,Random,Natural,100,,,100,,120,,,120,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,<1,+,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; J. West; E. Lear,
BA28-1520R,DUNE,4,10/20/2003,Saline,Random,Natural,100,,,100,,120,,,120,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,10,2,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; J. West; E. Lear,
BA28-1580,DUNE,4,9/18/2002,Saline,Random,Planted,100,,10,100,,65,,65,65,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,,,Out,,,,LA DEPT OF NAT RES (CRDT),K. Gray; A. Lasseigne; E. Lear,*no surviving Spartina patens or Spartina spartinae;*no Spartina spartinae found w/in 15' of plot
BA28-1580,DUNE,4,9/18/2002,Saline,Random,Planted,100,,10,100,,65,,65,65,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,Out,5,0,,LA DEPT OF NAT RES (CRDT),K. Gray; A. Lasseigne; E. Lear,*no surviving Spartina patens or Spartina spartinae;*no Spartina spartinae found w/in 15' of plot
BA28-1600,DUNE,4,9/18/2002,Saline,Random,Planted,100,,,100,,130,,,130,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,20,2,Both,,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne; K. Gray,Panicum amarum indeterminate
BA28-1600,DUNE,4,9/18/2002,Saline,Random,Planted,100,,,100,,130,,,130,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,Out,5,0,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne; K. Gray,Panicum amarum indeterminate
BA28-1640,DUNE,4,4/18/2001,Saline,Random,Planted,100,,,100,,10,,,10,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,90,5,Both,,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
BA28-1920,DUNE,4,4/19/2001,Saline,Random,Planted,100,,,100,,15,,,15,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,5,1,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-1920,DUNE,4,4/19/2001,Saline,Random,Planted,100,,,100,,15,,,15,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,100,5,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-1920,DUNE,4,4/19/2001,Saline,Random,Planted,100,,,100,,15,,,15,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,Out,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-1920,Dune,4,10/22/2001,Saline,Random,Planted,100,,,100,,23,,,23,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,5,1,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-1920,Dune,4,10/22/2001,Saline,Random,Planted,100,,,100,,23,,,23,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,,5,0,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-1980,DUNE,4,10/20/2003,Saline,Random,Planted,100,,,100,,131,,,131,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,2,1,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear; J. West,No planted Spartina spartinae (Ait.) Muhl.;Panicum amarum Ell. indeterminate.
BA28-1980,DUNE,4,10/20/2003,Saline,Random,Planted,100,,,100,,131,,,131,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,50,3,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear; J. West,No planted Spartina spartinae (Ait.) Muhl.;Panicum amarum Ell. indeterminate.
BA28-1980,DUNE,4,10/20/2003,Saline,Random,Planted,100,,,100,,131,,,131,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,Out,5,0,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear; J. West,No planted Spartina spartinae (Ait.) Muhl.;Panicum amarum Ell. indeterminate.
BA28-1980R,DUNE,4,10/20/2003,Saline,Random,Natural,100,,,100,,117,,,117,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,5,1,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear; J. West,
BA28-1980R,DUNE,4,10/20/2003,Saline,Random,Natural,100,,,100,,117,,,117,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,30,3,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear; J. West,
BA28-1980R,DUNE,4,10/20/2003,Saline,Random,Natural,100,,,100,,117,,,117,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,5,1,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear; J. West,
BA28-2020,DUNE,4,4/19/2001,Saline,Random,Planted,100,,,100,,35,,,30,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,1,1,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-2020,DUNE,4,4/19/2001,Saline,Random,Planted,100,,,100,,35,,,30,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,100,5,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-2020,Dune,4,10/22/2001,Saline,Random,Planted,100,,,100,,35,,,32,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,80,5,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-2020,Dune,4,10/22/2001,Saline,Random,Planted,100,,,100,,35,,,32,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,,5,0,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-2020R,DUNE,4,4/19/2001,Saline,Random,Natural,100,,,100,,20,,,20,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,25,2,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-2020R,DUNE,4,4/19/2001,Saline,Random,Natural,100,,,100,,20,,,20,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,80,5,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-2020R,Dune,4,10/22/2001,Saline,Random,Natural,100,,,100,,26,,,26,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,15,2,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-2020R,Dune,4,10/22/2001,Saline,Random,Natural,100,,,100,,26,,,26,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,,,Out,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-2020R,DUNE,4,9/18/2002,Saline,Random,Natural,100,,,100,,40,,,40,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,,,Out,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; K. Gray; E. Lear,
BA28-2260,DUNE,4,4/19/2001,Saline,Random,Planted,100,,,100,,20,,,20,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,10,2,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-2260,DUNE,4,4/19/2001,Saline,Random,Planted,100,,,100,,20,,,20,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,90,5,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-2260,DUNE,4,4/19/2001,Saline,Random,Planted,100,,,100,,20,,,20,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,Out,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-2260,Dune,4,10/22/2001,Saline,Random,Planted,100,,,100,,75,,,75,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,Out,5,1,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-2260,DUNE,4,9/18/2002,Saline,Random,Planted,100,,,100,,125,,,125,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,,,Out,,,,LA DEPT OF NAT RES (CRDT),E. Lear; K. Gray; A. Lasseigne,Panicum amarum and Spartina patens indeterminate.
BA28-2260,DUNE,4,9/18/2002,Saline,Random,Planted,100,,,100,,125,,,125,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,15,2,Both,5,,,LA DEPT OF NAT RES (CRDT),E. Lear; K. Gray; A. Lasseigne,Panicum amarum and Spartina patens indeterminate.
BA28-2260,DUNE,4,10/20/2003,Saline,Random,Planted,100,,,100,,112,,,112,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,10,2,Both,5,0,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear; J. West,"Panicum amarum Ell. indeterminate.;Spartina patens (Ait.) Muhl., none of the planted ones survived, however it appears that the plant on the inside of the plot is naturally seeded."
BA28-2260R,DUNE,4,10/20/2003,Saline,Random,Natural,100,,,100,,118,,,118,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,<1,+,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear; J. West,
BA28-2260R,DUNE,4,10/20/2003,Saline,Random,Natural,100,,,100,,118,,,118,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,5,1,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear; J. West,
BA28-2320,DUNE,4,4/19/2001,Saline,Random,Planted,100,,,100,,25,,,25,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,90,5,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-2320,DUNE,4,4/19/2001,Saline,Random,Planted,100,,,100,,25,,,25,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,,,Out,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-2340,DUNE,4,4/19/2001,Saline,Random,Planted,100,,,100,,20,,,20,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,100,5,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-2340,DUNE,4,4/19/2001,Saline,Random,Planted,100,,,100,,20,,,20,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,<1,+,Both,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
BA28-2340,DUNE,4,10/20/2003,Saline,Random,Planted,100,,,100,,132,,,132,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,10,2,Both,,,,LA DEPT OF NAT RES (CRDT),J. West; A. Lasseigne; E. Lear,Panicum amarum Ell. indeterminate.
BA28-2340,DUNE,4,10/20/2003,Saline,Random,Planted,100,,,100,,132,,,132,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,5,1,Both,,,,LA DEPT OF NAT RES (CRDT),J. West; A. Lasseigne; E. Lear,Panicum amarum Ell. indeterminate.
BA28-2340,DUNE,4,10/20/2003,Saline,Random,Planted,100,,,100,,132,,,132,,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,,5,0,,LA DEPT OF NAT RES (CRDT),J. West; A. Lasseigne; E. Lear,Panicum amarum Ell. indeterminate.
BA28-2340R,DUNE,4,4/19/2001,Saline,Random,Natural,100,,,100,,14,,,14,,Batis maritima L.,turtleweed,Batis maritima L.,turtleweed,35,3,Both,,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
BA28-2340R,DUNE,4,4/19/2001,Saline,Random,Natural,100,,,100,,14,,,14,,Distichlis spicata (L.) Greene,saltgrass,Distichlis spicata (L.) Greene,saltgrass,45,3,Both,,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
