Year,Collection_Date,Community,Sample_Type,Vegetation_Type,Percent_Cover_Total,Scientific_Name,Common_Name,Percent_Cover,In_Out,Number_Planted,Number_Alive,Organization,Personnel,Comments
1994,9/20/94,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),K. Vincent; M. Miller; D. Weifenbach,
1995,1/24/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),L. Schexnaider; S. Gardner; K. Vincent,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),C. Steyer; K. Vincent; R. Libersat,
1995,1/24/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),K. Vincent; L. Schexnaider; S. Gardner,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),C. Steyer; R. Libersat; K. Vincent,
1994,9/20/94,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,1,LA DEPT OF NAT RES (CRDL),K. Vincent; M. Miller; D. Weifenbach,
1995,1/24/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),L. Schexnaider; S. Gardner; K. Vincent,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),C. Steyer; K. Vincent; R. Libersat,
1994,9/20/94,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),K. Vincent; M. Miller; D. Weifenbach,
1995,1/24/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),L. Schexnaider; S. Gardner; K. Vincent,
1995,5/26/95,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,0,,16,0,LA DEPT OF NAT RES (CRDL),C. Steyer; K. Vincent; R. Libersat,
2001,9/18/01,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),E. Lear; K. Gray,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,5,LA DEPT OF NAT RES (CRDT),T. Folse; K. Gray,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,2,LA DEPT OF NAT RES (CRDT),T. Folse; K. Gray,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,3,LA DEPT OF NAT RES (CRDT),T. Folse; K. Gray,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,2,LA DEPT OF NAT RES (CRDT),K. Gray; T. Folse,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,5,LA DEPT OF NAT RES (CRDT),K. Gray; T. Folse,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,5,LA DEPT OF NAT RES (CRDT),K. Gray; T. Folse,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,5,LA DEPT OF NAT RES (CRDT),K. Gray; T. Folse,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,3,LA DEPT OF NAT RES (CRDT),T. Folse; K. Gray,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,3,LA DEPT OF NAT RES (CRDT),T. Folse; K. Gray,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,1,LA DEPT OF NAT RES (CRDT),T. Folse; K. Gray,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,1,LA DEPT OF NAT RES (CRDT),K. Gray; T. Folse,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,0,LA DEPT OF NAT RES (CRDT),T. Folse; K. Gray,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,0,LA DEPT OF NAT RES (CRDT),T. Folse; K. Gray,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,0,LA DEPT OF NAT RES (CRDT),T. Folse; K. Gray,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,4,LA DEPT OF NAT RES (CRDT),K. Gray; T. Folse,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,5,LA DEPT OF NAT RES (CRDT),K. Gray; T. Folse,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,0,LA DEPT OF NAT RES (CRDT),T. Folse; K. Gray,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,0,LA DEPT OF NAT RES (CRDT),K. Gray; T. Folse,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,4,LA DEPT OF NAT RES (CRDT),K. Gray; T. Folse,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,1,LA DEPT OF NAT RES (CRDT),K. Gray; T. Folse,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,4,LA DEPT OF NAT RES (CRDT),K. Gray; T. Folse,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,1,LA DEPT OF NAT RES (CRDT),K. Gray; T. Folse,
2002,9/16/02,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,,5,4,LA DEPT OF NAT RES (CRDT),K. Gray; T. Folse,
2001,8/21/01,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),J. Rapp; T. Folse,
2001,9/19/01,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),J. Rapp; K. Gray,
2001,9/19/01,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),J. Rapp; K. Gray,
2001,9/19/01,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),J. Rapp; K. Gray,
2001,9/19/01,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,,,LA DEPT OF NAT RES (CRDT),E. Lear; K. Gray,
2001,9/19/01,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),E. Lear; K. Gray,
2001,9/19/01,Saline,Random,Planted,0,Spartina alterniflora Loisel.,smooth cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),E. Lear; K. Gray,
2001,9/20/01,Saline,Random,Natural,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),E. Lear; K. Gray,
2001,9/20/01,Saline,Random,Natural,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),K. Gray; E. Lear,
2001,8/21/01,Saline,Random,Planted,0,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
2012,11/7/12,Saline,Random,Planted,0.01,Spartina alterniflora Loisel.,smooth cordgrass,Solitary,Both,10,10,COASTAL PROTECTION AND RESTORATION AUTHORITY,E. Lear; L. Rodrigue; T. Hubbell,Ceratophyllum demersum &Vallisneria americana in plot.;Water 1.2 ft above marsh..  Number Planted and Number Alive columns refer to Planting Survival and are not limited to the Plot Size.
2012,11/5/12,Saline,Random,Planted,0.01,Spartina alterniflora Loisel.,smooth cordgrass,Solitary,Both,10,10,COASTAL PROTECTION AND RESTORATION AUTHORITY,E. Lear; L. Rodrigue; T. Hubbell,Plugs behind trade gallon perimeter.;Water is 0.8 ft above marsh..  Number Planted and Number Alive columns refer to Planting Survival and are not limited to the Plot Size.
2012,11/7/12,Saline,Random,Planted,0.01,Spartina alterniflora Loisel.,smooth cordgrass,Solitary,Both,10,10,COASTAL PROTECTION AND RESTORATION AUTHORITY,E. Lear; L. Rodrigue; T. Hubbell,water .75 ft above marsh..  Number Planted and Number Alive columns refer to Planting Survival and are not limited to the Plot Size.
2012,11/7/12,Saline,Random,Planted,0.01,Spartina alterniflora Loisel.,smooth cordgrass,Solitary,Both,10,10,COASTAL PROTECTION AND RESTORATION AUTHORITY,E. Lear; T. Hubbell; L. Rodrigue,Linear open water perimenter trade gallons.;Water 1.1 ft above marsh..  Number Planted and Number Alive columns refer to Planting Survival and are not limited to the Plot Size.
1999,11/2/99,Saline,Random,Natural,0.5,Batis maritima L.,turtleweed,,Out,,,LA DEPT OF NAT RES (CRDT),M. Townson; D. Lee; T. Folse; G. Holm; M. Fugler; J. Visser; J. Rapp,
2001,10/22/01,Saline,Random,Natural,0.5,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,,,LA DEPT OF NAT RES (CRDT),T. Folse; J. Rapp,
2001,10/22/01,Saline,Random,Natural,0.5,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,,,LA DEPT OF NAT RES (CRDT),T. Folse; J. Rapp,
2003,9/17/03,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,<1,In,1,1,LA DEPT OF NAT RES (CRDL),C. Thibodeaux; L. Sharp; M. Mouledous,"Terrace # 403, orientation east/west, length 500 ft, West transect south slope"
1999,8/24/99,Saline,Random,Planted,0.5,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,15,0,LA DEPT OF NAT RES (CRDT),J. Stratford; K. Vincent,
2001,9/19/01,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,,,LA DEPT OF NAT RES (CRDT),K. Gray; J. Rapp,
2001,9/19/01,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,,,LA DEPT OF NAT RES (CRDT),E. Lear; K. Gray,
2003,9/15/03,Saline,Random,Natural,0.5,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; A. Lasseigne; R. Chiasson,
2001,9/20/01,Saline,Random,Natural,0.5,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),J. Rapp; G. Curole,
2001,8/21/01,Saline,Random,Planted,0.5,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
2004,10/12/04,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,Solitary,Both,9,1,LA DEPT OF NAT RES (CRDT),E. Lear; K. Gray; T. Folse,Row 1
2004,10/12/04,Saline,Random,Planted,0.5,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),E. Lear; K. Gray; T. Folse,Row 1
2003,6/24/03,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,Solitary,Both,12,7,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,Ce
2003,6/24/03,Saline,Random,Planted,0.5,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,Ce
2003,6/24/03,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,Solitary,Both,12,7,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,Row 2;Patches of natural Spartina alt. starting to grow along shoreline w/in this segment.
2003,6/24/03,Saline,Random,Planted,0.5,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,Row 2;Patches of natural Spartina alt. starting to grow along shoreline w/in this segment.
2003,6/24/03,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,Solitary,Both,12,4,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,Algae  -  Row 3;Nattural stands of Sp. alt. nearby on marsh;Sp. alt. inside plot eaten by nutria.
2003,6/24/03,Saline,Random,Planted,0.5,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,Algae  -  Row 3;Nattural stands of Sp. alt. nearby on marsh;Sp. alt. inside plot eaten by nutria.
2004,10/12/04,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,12,,LA DEPT OF NAT RES (CRDT),T. Folse; K. Gray; E. Lear,Indistinguishable;Row 3
2004,10/12/04,Saline,Random,Planted,0.5,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),T. Folse; K. Gray; E. Lear,Indistinguishable;Row 3
2003,6/24/03,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,Solitary,Both,12,2,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,
2003,6/24/03,Saline,Random,Planted,0.5,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,
2003,6/24/03,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,Solitary,Both,12,2,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,Row 2
2003,6/24/03,Saline,Random,Planted,0.5,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,Row 2
2004,10/12/04,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,12,,LA DEPT OF NAT RES (CRDT),T. Folse; K. Gray; E. Lear,Indistinguishable;Row 2
2003,6/24/03,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,9,2,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,Algae ;Row 2
2003,6/24/03,Saline,Random,Planted,0.5,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,Algae ;Row 2
2003,6/24/03,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,Solitary,Both,9,1,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,Row 3;Plants toppled over by wave wash.
2003,6/24/03,Saline,Random,Planted,0.5,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,Row 3;Plants toppled over by wave wash.
2003,6/24/03,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,9,6,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,Ce;Algae;Row 3
2003,6/24/03,Saline,Random,Planted,0.5,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,Ce;Algae;Row 3
2003,6/24/03,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,9,6,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,"Ce, Algae;Row 2"
2003,6/24/03,Saline,Random,Planted,0.5,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,"Ce, Algae;Row 2"
2003,6/24/03,Saline,Random,Planted,0.5,Juncus roemerianus Scheele,needlegrass rush,,Out,,,LA DEPT OF NAT RES (CRDT),T. Folse; E. Lear,"Ce, Algae;Row 2"
2004,10/12/04,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,5,,LA DEPT OF NAT RES (CRDT),K. Gray; E. Lear; T. Folse,Indistinguishable;Row 2
2004,10/12/04,Saline,Random,Planted,0.5,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),K. Gray; E. Lear; T. Folse,Indistinguishable;Row 2
1999,6/7/99,Saline,Random,Planted,0.5,Spartina alterniflora Loisel.,smooth cordgrass,25,In,16,4,LA DEPT OF NAT RES (CRDL),M. Miller; D. Weifenbach; C. Thibodeaux,
2001,10/22/01,Saline,Random,Planted,1,Batis maritima L.,turtleweed,,Out,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
2001,10/22/01,Saline,Random,Planted,1,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,,Out,5,0,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
2002,9/18/02,Saline,Random,Natural,1,Spartina alterniflora Loisel.,smooth cordgrass,1,Both,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,
2001,4/19/01,Saline,Random,Planted,1,Spartina alterniflora Loisel.,smooth cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
2001,4/19/01,Saline,Random,Planted,1,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
2001,4/19/01,Saline,Random,Natural,1,Spartina alterniflora Loisel.,smooth cordgrass,1,Both,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
2001,4/19/01,Saline,Random,Planted,1,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
2001,4/19/01,Saline,Random,Planted,1,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
2001,4/19/01,Saline,Random,Natural,1,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
2001,10/22/01,Saline,Random,Planted,1,Spartina alterniflora Loisel.,smooth cordgrass,1,Both,20,6,LA DEPT OF NAT RES (CRDT),T. Folse; J. Rapp,
2001,4/19/01,Saline,Random,Planted,1,Spartina alterniflora Loisel.,smooth cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
2001,4/19/01,Saline,Random,Natural,1,Spartina alterniflora Loisel.,smooth cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
2001,4/19/01,Saline,Random,Planted,1,Spartina alterniflora Loisel.,smooth cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
2001,10/22/01,Saline,Random,Planted,1,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,20,3,LA DEPT OF NAT RES (CRDT),T. Folse; J. Rapp,
2001,4/19/01,Saline,Random,Natural,1,Spartina alterniflora Loisel.,smooth cordgrass,,Out,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
2001,10/22/01,Saline,Random,Natural,1,Spartina alterniflora Loisel.,smooth cordgrass,<1,Both,,,LA DEPT OF NAT RES (CRDT),J. Rapp; T. Folse,
2005,10/24/05,Saline,Random,Natural,1,Spartina alterniflora Loisel.,smooth cordgrass,1,Both,,,LA DEPT OF NAT RES (CRDL),M. Mouledous; L. Sharp,"no surface water in plot;if alive: 90% total cover;surface (out of plot):  14.8 C, 1673 u/S, 9.9 ppt.;10 cm: 16.4 C, 14760 ms, 8.6 ppt.;30 cm:  no water"
2005,10/24/05,Saline,Random,Natural,1,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,<1,Both,,,LA DEPT OF NAT RES (CRDL),M. Mouledous; L. Sharp,"no surface water in plot;if alive: 90% total cover;surface (out of plot):  14.8 C, 1673 u/S, 9.9 ppt.;10 cm: 16.4 C, 14760 ms, 8.6 ppt.;30 cm:  no water"
2007,10/2/07,Saline,Random,Natural,1,Spartina alterniflora Loisel.,smooth cordgrass,1,Both,,,LA DEPT OF NAT RES (CRDL),D. Weifenbach; E. Haywood; M. Miller,"Mostly open water.   No height recorded.;Surface water= 1.3', 12.8 ppt; Porewater 10cm= 15.7 ppt; Porewater 30cm= 19.7 ppt"
