Year,Collection_Date,Community,Sample_Type,Vegetation_Type,Percent_Cover_Total,Percent_Cover_Shrub,Percent_Cover_Herb,Percent_Cover_Carpet,Average_Height_Dominant_(cm),Average_Height_Tree_cm,Average_Height_Shrub_cm,Average_Height_Herb_cm,Average_Height_Carpet_cm,Scientific_Name,Common_Name,Percent_Cover,In_Out,Number_Planted,Number_Alive,Additional_Species_Description,Organization,Personnel,Comments
2002,9/18/02,Saline,Random,Planted,100,,100,,175,,,175,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,Spartina alterniflora indeterminate.
2002,9/18/02,Saline,Random,Planted,100,0.01,100,,160,,106,160,,Avicennia germinans (L.) L.,black mangrove,Solitary,Both,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,Spartina alterniflora indeterminate.
2016,10/5/16,Saline,Transect,Natural,100,95,35,,117.65,,213.36,91.44,,Avicennia germinans (L.) L.,black mangrove,95,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,A. Plaisance; M. Reeves, Water Level is below marsh. Open water is 0%. Bare ground is 0%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2006,10/10/06,Saline,Transect,Natural,100,,100,,115,,,115,,Avicennia germinans (L.) L.,black mangrove,4,Both,,,,BIOLOGICAL MONITORING SECTION (NO),W. Boshart; M. Hymel,Water relative to marsh = < 0 feet
2006,10/10/06,Saline,Transect,Natural,100,,100,,117.6,,,117.6,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,BIOLOGICAL MONITORING SECTION (NO),W. Boshart; M. Hymel,Water relative to marsh = < 0 feet
2009,7/28/09,Saline,Transect,Natural,100,,100,,129.23,,,129.23,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Gallagher; D. Plaisance,Water Level is below marsh.
2011,8/23/11,Saline,Transect,Natural,100,10,95,,149.35,,79.24,97.53,,Avicennia germinans (L.) L.,black mangrove,10,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,H. Arnold; K. Peterson; K. Lew,Water Level is below marsh.
2009,7/28/09,Saline,Transect,Natural,100,,100,,127.4,,,127.4,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Gallagher; D. Plaisance,Water Level is below marsh.
2006,8/16/06,Saline,Transect,Natural,100,100,2,,143.9,,121.9,24.4,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,T. Nguyen; D. Mcwhorter; W. Cavalier,
2013,10/16/13,Saline,Transect,Natural,100,,100,,70.4,,,50,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL PROTECTION AND RESTORATION AUTHORITY,L. Rodrigue; E. Lear; T. Hubbell; G. Curole,Barrier island. Herbaceous layers overlap.
2001,10/22/01,Saline,Random,Planted,98,,98,,13,,,33,,Avicennia germinans (L.) L.,black mangrove,Solitary,In,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
2002,9/18/02,Saline,Random,Natural,98,3,98,,145,,75,145,,Avicennia germinans (L.) L.,black mangrove,3,Both,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,
2002,9/18/02,Saline,Random,Natural,97,,97,,170,,,170,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,
2009,7/28/09,Saline,Transect,Natural,97,,97,,134.11,,,134.11,,Avicennia germinans (L.) L.,black mangrove,10,Both,,,,COASTAL ESTUARY SERVICES LLC,A. Gallagher; D. Plaisance,Water Level is below marsh.
2002,9/18/02,Saline,Random,Planted,95,0.01,95,,108,,89,108,,Avicennia germinans (L.) L.,black mangrove,Solitary,Both,,,,LA DEPT OF NAT RES (CRDT),T. Folse; G. Curole; T. Hubbell,Spartina alterniflora indeterminate.
2002,9/18/02,Saline,Random,Natural,95,,95,,114,,,114,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,
2002,9/18/02,Saline,Random,Natural,95,,95,,107,,,107,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,
2002,9/18/02,Saline,Random,Planted,95,2,90,,135,,101,135,,Avicennia germinans (L.) L.,black mangrove,2,Both,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,Spartina alterniflora indeterminate.
2002,9/18/02,Saline,Random,Planted,95,,95,,80,,,80,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,Spartina alterniflora indeterminate.
2002,9/18/02,Saline,Random,Natural,95,5,95,,120,,108,120,,Avicennia germinans (L.) L.,black mangrove,5,In,,,,LA DEPT OF NAT RES (CRDT),G. Curole; T. Hubbell; T. Folse,
2001,4/18/01,Saline,Random,Planted,95,,95,,15,,,15,,Avicennia germinans (L.) L.,black mangrove,Solitary,Both,,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
2001,4/18/01,Saline,Random,Natural,95,,95,,20,,,40,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),E. Lear; A. Lasseigne,
2003,10/20/03,Saline,Random,Planted,95,,95,,114,,,114,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; R. Chiasson,
2002,9/18/02,Saline,Random,Planted,95,,95,,180,,,180,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,Spartina alterniflora indeterminate.
2003,10/20/03,Saline,Random,Planted,95,,95,,124,,,124,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; R. Chiasson,
2002,9/18/02,Saline,Random,Natural,95,2,95,,170,,104,170,,Avicennia germinans (L.) L.,black mangrove,2,Both,,,,LA DEPT OF NAT RES (CRDT),G. Curole; T. Hubbell; T. Folse,
2016,10/4/16,Saline,Transect,Natural,95,,95,,123.74,,,103.63,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,C. Izdepski; E. Bennett, Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2016,10/4/16,Saline,Transect,Natural,95,95,20,,195.68,,243.84,67.05,,Avicennia germinans (L.) L.,black mangrove,95,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,C. Izdepski; E. Bennett, Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2016,10/5/16,Saline,Transect,Natural,95,95,3,,190.19,,152.4,12.19,,Avicennia germinans (L.) L.,black mangrove,65,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,C. Izdepski; E. Bennett, Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2013,10/29/13,Saline,Transect,Natural,95,90,15,,135.33,,121.92,30.48,,Avicennia germinans (L.) L.,black mangrove,90,Both,,,,COASTAL ESTUARY SERVICES LLC,R. Villani; C. Izdepski,Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2016,10/5/16,Saline,Transect,Natural,95,85,15,,170.07,,155.44,91.44,,Avicennia germinans (L.) L.,black mangrove,85,Both,,,,COASTAL ESTUARY SERVICES LLC,C. Izdepski; E. Bennett, Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2016,10/5/16,Saline,Transect,Natural,95,,95,,96.31,,,91.44,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; M. Reeves, Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2013,10/29/13,Saline,Transect,Natural,95,,95,,85.34,,,67.05,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,C. Izdepski; R. Villani,Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2013,10/29/13,Saline,Transect,Natural,95,75,30,,148.13,,137.16,60.96,,Avicennia germinans (L.) L.,black mangrove,65,Both,,,,COASTAL ESTUARY SERVICES LLC,C. Izdepski; R. Villani,Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2013,8/27/13,Saline,Transect,Natural,95,,95,,112.77,,,85.34,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,H. Arnold; A. Kattenbraker; K. Fogg,Water Level is 0.26 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2014,9/2/14,Saline,Transect,Natural,95,,95,,120.7,,,85.34,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,K. Fogg; J. Pace,Personnel also included B. Asbury Water Level is 0.02 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2016,9/6/16,Saline,Transect,Natural,95,,95,,134.72,,,109.72,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; D. Plaisance; M. Elizondo, Water Level is 0.46 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2017,8/1/17,Saline,Transect,Natural,95,1,95,,112.16,,79.24,67.05,,Avicennia germinans (L.) L.,black mangrove,1,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,A. Plaisance; G. Parkes; D. Plaisance,10% dead vegetation laying over herbaceous layer; Water Level is 0.3 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 10%. Flooded-Undetermined is 0%.
2013,8/27/13,Saline,Transect,Natural,95,,95,,105.46,,,85.34,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,H. Arnold; A. Kattenbraker; K. Fogg,Water Level is 0.08 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2014,9/2/14,Saline,Transect,Natural,95,,95,,112.16,,,70.1,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,K. Fogg; J. Pace,Personnel also included B. Asbury Water Level is 0.02 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2017,8/1/17,Saline,Transect,Natural,95,,95,,115.82,,,73.15,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; G. Parkes; D. Plaisance,5% dead vegetation layer over herbaceous layer; Water Level is 0.3 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2011,8/23/11,Saline,Transect,Natural,95,15,85,,129.23,,121.92,91.44,,Avicennia germinans (L.) L.,black mangrove,15,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,H. Arnold; K. Peterson; K. Lew,Water Level is below marsh.
2013,8/27/13,Saline,Transect,Natural,95,15,90,,128.01,,137.16,97.53,,Avicennia germinans (L.) L.,black mangrove,15,Both,,,,COASTAL ESTUARY SERVICES LLC,H. Arnold; A. Kattenbraker; K. Fogg,Water Level is 0.2 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2014,9/2/14,Saline,Transect,Natural,95,20,85,,117.04,,128.01,76.2,,Avicennia germinans (L.) L.,black mangrove,20,Both,,,,COASTAL ESTUARY SERVICES LLC,K. Fogg; J. Pace,Personnel also included B. Asbury Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2017,8/1/17,Saline,Transect,Natural,95,20,85,,109.72,,170.68,103.63,,Avicennia germinans (L.) L.,black mangrove,20,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,A. Plaisance; G. Parkes; D. Plaisance,10% dead vegetation over herbaceous layer; Water Level is 0.51 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 10%. Flooded-Undetermined is 0%.
2013,8/27/13,Saline,Transect,Natural,95,,95,,118.87,,,94.48,,Avicennia germinans (L.) L.,black mangrove,5,Both,,,too small to be considered a shrub,COASTAL ESTUARY SERVICES LLC,H. Arnold; A. Kattenbraker; K. Fogg,Water Level is 0.28 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2014,9/2/14,Saline,Transect,Natural,95,,95,,99.97,,,85.34,,Avicennia germinans (L.) L.,black mangrove,10,Both,,,Herbaceous,COASTAL ESTUARY SERVICES LLC,K. Fogg; J. Pace,Personnel also included B. Asbury Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2011,8/23/11,Saline,Transect,Natural,95,,95,,146.91,,,103.63,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,H. Arnold; K. Peterson; K. Lew,Water Level is below marsh.
2014,9/2/14,Saline,Transect,Natural,95,,95,,115.82,,,60.96,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,K. Fogg; J. Pace,Spartina alterniflora flattened by unknown cause/possible animal tracks (60% coverage). Personnel also included B. Asbury Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2008,7/30/08,Saline,Transect,Natural,95,,95,,120.09,,,103.63,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; A. Kerisit,YSI 30 broken - no porewater readings taken. Water Level is 0.5 ft Above Marsh. Bare Ground is unvegetated surface.
2017,8/1/17,Saline,Transect,Natural,95,,95,,99.36,,,67.05,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,H. Arnold; J. Pace; K. Fogg,camera corrupted; attempting to retrieve file from outside source; Water Level is 0.44 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2015,8/31/15,Saline,Transect,Natural,95,,95,,79.85,,,100.58,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; Z. Moore; T. Siemens, Water Level is 0.2 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2016,9/6/16,Saline,Transect,Natural,95,,95,,118.26,,,100.58,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; D. Plaisance; M. Elizondo, Water Level is 0.3 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2006,10/10/06,Saline,Transect,Natural,95,,95,,126.4,,,126.4,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,BIOLOGICAL MONITORING SECTION (NO),W. Boshart; M. Hymel,Water relative to marsh = < 0 feet
2009,7/28/09,Saline,Transect,Natural,95,,95,,121.31,,,118.87,,Avicennia germinans (L.) L.,black mangrove,1,Both,,,,COASTAL ESTUARY SERVICES LLC,A. Gallagher; D. Plaisance,Water Level is below marsh.
2016,8/24/16,Saline,Transect,Natural,95,,95,,85.34,,,57.91,,Avicennia germinans (L.) L.,black mangrove,,Out,,,Urbatsch ID: Leafy shoot,COASTAL ESTUARY SERVICES LLC,M. Reeves; M. Elizondo; D. Plaisance, Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2014,8/7/14,Saline,Transect,Natural,95,95,,,133.5,,112.77,,,Avicennia germinans (L.) L.,black mangrove,95,Both,,,Shrub,COASTAL ESTUARY SERVICES LLC,A. Hafkesbring; C. Hymel,Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2013,8/8/13,Saline,Transect,Natural,95,40,55,,104.85,,152.4,91.44,,Avicennia germinans (L.) L.,black mangrove,95,Both,,,40 PERCENT SHRUB,COASTAL ESTUARY SERVICES LLC,A. Hafkesbring; D. Wheat,No PW; sipper malfunction Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2007,10/29/07,Saline,Transect,Natural,95,,95,,160.3,,,121.9,,Avicennia germinans (L.) L.,black mangrove,95,Both,,,,COASTAL ESTUARY SERVICES LLC,J. Bacon; J. Soileau,Bare Ground.; Water Level is Below Marsh
2009,7/16/09,Saline,Transect,Natural,95,40,60,,162.76,,167.64,76.2,,Avicennia germinans (L.) L.,black mangrove,95,Both,,,,COASTAL ESTUARY SERVICES LLC,J. Viola; A. Dufrene; J. Smith,Same note as V62. Water Level is below marsh.
2011,8/4/11,Saline,Transect,Natural,95,90,5,,155.44,,167.64,30.48,,Avicennia germinans (L.) L.,black mangrove,95,Both,,,5% herb  90% shrub,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Smith,Water Level is below marsh.
2012,7/30/12,Saline,Transect,Natural,95,85,10,,173.73,,152.4,30.48,,Avicennia germinans (L.) L.,black mangrove,95,Both,,,10% herbaceous;85% shrub,COASTAL ESTUARY SERVICES LLC,J. Smith; A. Dufrene,Water Level is 0.15 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2014,8/7/14,Saline,Transect,Natural,95,60,40,,158.49,,134.11,85.34,,Avicennia germinans (L.) L.,black mangrove,95,Both,,,40% Herbaceous; 60% Shrub,COASTAL ESTUARY SERVICES LLC,A. Hafkesbring; C. Hymel,Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2013,8/29/13,Saline,Transect,Natural,95,80,15,,122.95,,121.92,39.62,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,C. Hymel; D. Sires,Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2013,8/29/13,Saline,Transect,Natural,95,90,10,,127.4,,121.92,45.72,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,C. Hymel; D. Sires,Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2014,9/3/14,Saline,Transect,Natural,95,95,5,,155.44,,134.11,60.96,,Avicennia germinans (L.) L.,black mangrove,1,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J.S. Smith; A. Hafkesbring,Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2013,8/29/13,Saline,Transect,Natural,95,80,20,,121.92,,121.92,51.81,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,C. Hymel; D. Sires,Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2009,7/20/09,Saline,Transect,Natural,95,,95,,77.35,,,59.43,,Avicennia germinans (L.) L.,black mangrove,2,Both,,,,COASTAL ESTUARY SERVICES LLC,J. Dunn; E. Bourg; B. Rhodes,Water Level is below marsh.
2012,7/6/12,Saline,Transect,Natural,95,,95,,28.71,,,30.48,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Hafkesbring; C. Hymel; E. Bourg,Water Level is 0.05 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2009,7/20/09,Saline,Transect,Natural,95,,95,,74.31,,,56.38,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,B. Rhodes; E. Bourg; J. Dunn,Water Level is below marsh.
2016,9/21/16,Saline,Transect,Natural,95,,95,,39.2,,,40,,Avicennia germinans (L.) L.,black mangrove,15,Both,,,,COASTAL ESTUARY SERVICES LLC,L. Rodrigue; E. Lear; T. Hubbell; G. Curole, Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2016,9/22/16,Saline,Transect,Natural,95,,95,,80,,,70,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,E. Lear; T. Hubbell; G. Curole, Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2003,10/20/03,Saline,Random,Natural,93,3,90,,70,,47,70,,Avicennia germinans (L.) L.,black mangrove,3,Both,,,,LA DEPT OF NAT RES (CRDT),R. Chiasson; G. Curole; T. Hubbell,
2003,10/20/03,Saline,Random,Planted,90,,90,,61,,,61,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),R. Chiasson; G. Curole; T. Hubbell,
2002,9/18/02,Saline,Random,Natural,90,,90,,93,,,93,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; T. Folse; G. Curole,
2003,10/20/03,Saline,Random,Natural,90,,90,,119,,,119,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; R. Chiasson,
2003,10/20/03,Saline,Random,Natural,90,5,85,,85,,77,85,,Avicennia germinans (L.) L.,black mangrove,5,Both,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; R. Chiasson,
2002,9/18/02,Saline,Random,Planted,90,0.01,90,,130,,78,130,,Avicennia germinans (L.) L.,black mangrove,Solitary,Both,,,,LA DEPT OF NAT RES (CRDT),G. Curole; T. Hubbell; T. Folse,Spartina alterniflora indeterminate.
2002,9/18/02,Saline,Random,Natural,90,0.01,90,,120,,80,120,,Avicennia germinans (L.) L.,black mangrove,Solitary,Both,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,
2003,10/20/03,Saline,Random,Planted,90,<1,90,,80,,45,80,,Avicennia germinans (L.) L.,black mangrove,Solitary,Both,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; R. Chiasson,
2003,10/20/03,Saline,Random,Natural,90,<1,90,,79,,103,79,,Avicennia germinans (L.) L.,black mangrove,Solitary,Both,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; R. Chiasson,
2001,10/22/01,Saline,Random,Natural,90,,90,,25,,,40,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; E. Lear,
2002,9/18/02,Saline,Random,Planted,90,,90,,160,,,160,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; T. Folse,Spartina alterniflora indeterminate
2003,10/20/03,Saline,Random,Planted,90,,90,,67,,,67,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; R. Chiasson,
2003,10/20/03,Saline,Random,Natural,90,10,80,,150,,130,150,,Avicennia germinans (L.) L.,black mangrove,10,Both,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; R. Chiasson,
2013,10/28/13,Saline,Transect,Natural,90,10,80,,89,,121.92,60.96,,Avicennia germinans (L.) L.,black mangrove,10,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,C. Izdepski; R. Villani,Water Level is below marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2016,10/4/16,Saline,Transect,Natural,90,30,70,,82.29,,167.64,67.05,,Avicennia germinans (L.) L.,black mangrove,40,Both,,,"10% herbaceous, 30% shrub",COASTAL ESTUARY SERVICES LLC,C. Izdepski; E. Bennett, Water Level is below marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
