Year,Species,Metric Tons,Pounds,Dollars 
2009,Soft Blue Crab,16.9,"37,309","104,798"
2010,Soft Blue Crab,5.3,"11,695","70,483"
2011,Soft Blue Crab,9.2,"20,352","138,479"
2012,Soft Blue Crab,4,"8,877","46,615"
2013,Soft Blue Crab,3.7,"8,144","57,937"
2014,Soft Blue Crab,3.4,"7,450","56,534"
2015,Soft Blue Crab,4.3,"9,520","73,446"
2016,Soft Blue Crab,4.9,"10,865","82,118"
1950,Soft and Peeler Blue Crab,164.7,"363,100","164,425"
1951,Soft and Peeler Blue Crab,158.9,"350,300","188,319"
1952,Soft and Peeler Blue Crab,203.2,"448,000","215,040"
1953,Soft and Peeler Blue Crab,221.2,"487,600","203,387"
1954,Soft and Peeler Blue Crab,206.6,"455,400","215,325"
1955,Soft and Peeler Blue Crab,263.4,"580,600","289,630"
1956,Soft and Peeler Blue Crab,272.2,"600,000","249,720"
1957,Soft and Peeler Blue Crab,250.1,"551,300","192,005"
1958,Soft and Peeler Blue Crab,261.5,"576,500","297,170"
1959,Soft and Peeler Blue Crab,274.5,"605,100","302,550"
1960,Soft and Peeler Blue Crab,233,"513,600","255,517"
1961,Soft and Peeler Blue Crab,281.4,"620,300","310,200"
1962,Soft and Peeler Blue Crab,155.9,"343,800","171,900"
1963,Soft and Peeler Blue Crab,149.1,"328,700","164,350"
1964,Soft and Peeler Blue Crab,90.7,"199,900","126,940"
1965,Soft and Peeler Blue Crab,92.4,"203,800","140,686"
1966,Soft and Peeler Blue Crab,57.9,"127,700","84,844"
1967,Soft and Peeler Blue Crab,66.4,"146,300","121,331"
1968,Soft and Peeler Blue Crab,128.8,"284,000","206,398"
1969,Soft and Peeler Blue Crab,89.2,"196,600","161,236"
1970,Soft and Peeler Blue Crab,40.6,"89,600","79,492"
1971,Soft and Peeler Blue Crab,57.5,"126,800","125,741"
1972,Soft and Peeler Blue Crab,46.3,"102,100","109,119"
1973,Soft and Peeler Blue Crab,54.3,"119,600","131,552"
1974,Soft and Peeler Blue Crab,43.4,"95,600","126,934"
1975,Soft and Peeler Blue Crab,50.1,"110,500","155,087"
1976,Soft and Peeler Blue Crab,40,"88,200","144,945"
1977,Soft and Peeler Blue Crab,101.9,"224,700","569,539"
1978,Soft and Peeler Blue Crab,60.4,"133,061","275,739"
1979,Soft and Peeler Blue Crab,66.7,"146,951","337,542"
1980,Soft and Peeler Blue Crab,53.6,"118,122","273,486"
1981,Soft and Peeler Blue Crab,45.5,"100,398","238,086"
1982,Soft and Peeler Blue Crab,74.5,"164,198","431,756"
1983,Soft and Peeler Blue Crab,46,"101,497","290,017"
1984,Soft and Peeler Blue Crab,34,"75,029","203,291"
1985,Soft and Peeler Blue Crab,37.2,"82,102","199,600"
1986,Soft and Peeler Blue Crab,36,"79,385","180,697"
1987,Soft and Peeler Blue Crab,63.1,"139,080","371,952"
1988,Soft and Peeler Blue Crab,73.7,"162,504","439,912"
1989,Soft and Peeler Blue Crab,78.2,"172,477","421,677"
1990,Soft and Peeler Blue Crab,113.1,"249,325","621,389"
1991,Soft and Peeler Blue Crab,90.8,"200,161","298,105"
1992,Soft and Peeler Blue Crab,109,"240,402","532,184"
1993,Soft and Peeler Blue Crab,44.8,"98,746","426,140"
1994,Soft and Peeler Blue Crab,45.4,"100,189","435,694"
1995,Soft and Peeler Blue Crab,23.9,"52,591","484,933"
1996,Soft and Peeler Blue Crab,45.1,"99,335","515,701"
1997,Soft and Peeler Blue Crab,39.1,"86,184","592,872"
1998,Soft and Peeler Blue Crab,80.2,"176,832","1,399,567"
1987,Florida Stone Claws,4.4,"9,760","21,025"
1988,Florida Stone Claws,2.3,"5,048","10,096"
1997,Florida Stone Claws,3.7,"8,216","37,035"
1998,Florida Stone Claws,1,"2,173","7,747"
1999,Florida Stone Claws,6.4,"14,128","36,221"
2000,Florida Stone Claws,23,"50,750","113,626"
2001,Florida Stone Claws,12.1,"26,619","56,894"
2002,Florida Stone Claws,3.7,"8,130","16,887"
2003,Florida Stone Claws,5.6,"12,278","43,110"
2004,Florida Stone Claws,0.8,"1,688","3,972"
2005,Florida Stone Claws,0.3,650,"1,779"
2006,Florida Stone Claws,0.7,"1,635","4,183"
2007,Florida Stone Claws,1.9,"4,253","11,417"
2008,Florida Stone Claws,1.1,"2,397","7,492"
2009,Florida Stone Claws,0.8,"1,737","4,681"
2010,Florida Stone Claws,0.4,955,"2,645"
2011,Florida Stone Claws,0.7,"1,628","5,429"
2012,Florida Stone Claws,1,"2,228","10,070"
2013,Florida Stone Claws,0.5,"1,068","3,626"
2014,Florida Stone Claws,0.4,970,"3,396"
2015,Florida Stone Claws,0.4,961,"3,432"
2016,Florida Stone Claws,1.6,"3,618","5,519"
GRAND TOTALS:,-,"839,225.20","1,850,155,886","1,058,040,287"
